,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
0,4,10.633680833333337,1.4444444444444444,1.0,50,True,500,2,60,5,3,10,30,False,50
1,70,10.856276777136364,2.333333333333333,3.0,50,True,500,2,60,5,3,10,30,False,50
2,140,10.725491187498871,3.6666666666666665,5.0,50,True,500,2,60,5,3,10,30,False,50
3,210,10.20456865433763,1.0,8.0,50,True,500,2,60,5,3,10,30,False,50
4,242,9.806054536729656,1.0,9.0,50,True,500,2,60,5,3,10,30,False,50
5,173,11.104461749081743,4.111111111111111,6.0,50,True,500,2,60,5,3,10,30,False,50
6,264,11.12951745869427,4.555555555555555,9.0,50,True,500,2,60,5,3,10,30,False,50
7,14,11.408331666666667,2.7777777777777777,1.0,50,True,500,2,60,5,3,10,30,False,50
8,145,11.06026176751971,4.555555555555555,5.0,50,True,500,2,60,5,3,10,30,False,50
9,204,10.81255192171348,4.555555555555555,7.0,50,True,500,2,60,5,3,10,30,False,50
10,79,11.025813780864196,3.6666666666666665,3.0,50,True,500,2,60,5,3,10,30,False,50
11,94,10.980562732137402,1.4444444444444444,4.0,50,True,500,2,60,5,3,10,30,False,50
12,273,9.965311677503912,1.4444444444444444,10.0,50,True,500,2,60,5,3,10,30,False,50
13,216,10.306435556226559,1.8888888888888888,8.0,50,True,500,2,60,5,3,10,30,False,50
14,45,10.918462175925924,3.2222222222222223,2.0,50,True,500,2,60,5,3,10,30,False,50
15,149,11.277332500000002,5.0,5.0,50,True,500,2,60,5,3,10,30,False,50
16,18,11.070281666666666,3.6666666666666665,1.0,50,True,500,2,60,5,3,10,30,False,50
17,229,10.862419133214287,3.6666666666666665,8.0,50,True,500,2,60,5,3,10,30,False,50
18,32,11.030993806934351,1.0,2.0,50,True,500,2,60,5,3,10,30,False,50
19,9,10.833203333333332,2.333333333333333,1.0,50,True,500,2,60,5,3,10,30,False,50
