,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
0,40,11.547430069392345,5.0,40.0,50,True,500,2,60,5,3,10,30,True,50
1,31,12.212226549300828,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
2,21,12.85444770543323,1.0,80.0,50,True,500,2,60,5,3,10,30,True,50
3,12,12.42302660401973,1.0,50.0,50,True,500,2,60,5,3,10,30,True,50
4,7,12.152352219229831,1.0,30.0,50,True,500,2,60,5,3,10,30,True,50
5,41,11.937774232345777,5.0,40.0,50,True,500,2,60,5,3,10,30,True,50
6,9,12.424316655776982,1.0,40.0,50,True,500,2,60,5,3,10,30,True,50
7,13,12.315418241046757,1.0,50.0,50,True,500,2,60,5,3,10,30,True,50
8,16,12.979853284854611,1.0,60.0,50,True,500,2,60,5,3,10,30,True,50
9,37,11.34360704503548,5.0,30.0,50,True,500,2,60,5,3,10,30,True,50
10,54,11.891823820140996,5.0,90.0,50,True,500,2,60,5,3,10,30,True,50
11,3,11.7661129232491,1.0,20.0,50,True,500,2,60,5,3,10,30,True,50
12,57,11.53843919787808,5.0,100.0,50,True,500,2,60,5,3,10,30,True,50
13,0,11.843786233303796,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
14,17,12.714972465697478,1.0,60.0,50,True,500,2,60,5,3,10,30,True,50
15,38,11.674254832019777,5.0,30.0,50,True,500,2,60,5,3,10,30,True,50
16,8,12.149690220686985,1.0,30.0,50,True,500,2,60,5,3,10,30,True,50
17,55,11.858668923941043,5.0,90.0,50,True,500,2,60,5,3,10,30,True,50
18,52,11.312006930819,5.0,80.0,50,True,500,2,60,5,3,10,30,True,50
19,48,11.685404959274415,5.0,70.0,50,True,500,2,60,5,3,10,30,True,50
20,28,12.614043836511255,1.0,100.0,50,True,500,2,60,5,3,10,30,True,50
21,1,11.56203137417488,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
22,34,11.543989609960455,5.0,20.0,50,True,500,2,60,5,3,10,30,True,50
23,19,12.49626056871886,1.0,70.0,50,True,500,2,60,5,3,10,30,True,50
24,46,11.554499779888648,5.0,60.0,50,True,500,2,60,5,3,10,30,True,50
25,53,11.99490376300406,5.0,80.0,50,True,500,2,60,5,3,10,30,True,50
26,36,12.085819534028204,5.0,30.0,50,True,500,2,60,5,3,10,30,True,50
27,24,12.864029916104384,1.0,90.0,50,True,500,2,60,5,3,10,30,True,50
28,39,11.88854819268954,5.0,40.0,50,True,500,2,60,5,3,10,30,True,50
29,32,12.309350454698771,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
30,29,13.116235739261265,1.0,100.0,50,True,500,2,60,5,3,10,30,True,50
31,2,11.64782137851437,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
32,35,11.682620391488285,5.0,20.0,50,True,500,2,60,5,3,10,30,True,50
33,20,13.17832987771386,1.0,70.0,50,True,500,2,60,5,3,10,30,True,50
34,47,12.09721480214062,5.0,60.0,50,True,500,2,60,5,3,10,30,True,50
35,56,12.053994439354902,5.0,90.0,50,True,500,2,60,5,3,10,30,True,50
36,50,12.00901437063989,5.0,70.0,50,True,500,2,60,5,3,10,30,True,50
37,15,12.842734718919061,1.0,60.0,50,True,500,2,60,5,3,10,30,True,50
38,58,11.515496573868804,5.0,100.0,50,True,500,2,60,5,3,10,30,True,50
39,25,13.245544651771542,1.0,90.0,50,True,500,2,60,5,3,10,30,True,50
40,42,11.491510924284956,5.0,50.0,50,True,500,2,60,5,3,10,30,True,50
41,10,12.191859122838034,1.0,40.0,50,True,500,2,60,5,3,10,30,True,50
42,22,12.460428699175338,1.0,80.0,50,True,500,2,60,5,3,10,30,True,50
43,26,12.855658372929893,1.0,90.0,50,True,500,2,60,5,3,10,30,True,50
44,59,12.140719297238597,5.0,100.0,50,True,500,2,60,5,3,10,30,True,50
45,43,11.639898285022701,5.0,50.0,50,True,500,2,60,5,3,10,30,True,50
46,51,12.091973101742255,5.0,80.0,50,True,500,2,60,5,3,10,30,True,50
47,33,12.056129099679325,5.0,20.0,50,True,500,2,60,5,3,10,30,True,50
48,11,12.512417612441439,1.0,40.0,50,True,500,2,60,5,3,10,30,True,50
49,45,11.651747756250664,5.0,60.0,50,True,500,2,60,5,3,10,30,True,50
50,27,13.23418149179406,1.0,100.0,50,True,500,2,60,5,3,10,30,True,50
51,4,11.665620818495722,1.0,20.0,50,True,500,2,60,5,3,10,30,True,50
52,44,11.421770887847936,5.0,50.0,50,True,500,2,60,5,3,10,30,True,50
53,49,12.061847022678762,5.0,70.0,50,True,500,2,60,5,3,10,30,True,50
54,14,12.461330199606198,1.0,50.0,50,True,500,2,60,5,3,10,30,True,50
55,30,11.96514326387477,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
56,23,12.67441414251716,1.0,80.0,50,True,500,2,60,5,3,10,30,True,50
57,5,11.56472292594039,1.0,20.0,50,True,500,2,60,5,3,10,30,True,50
58,6,11.895501927422858,1.0,30.0,50,True,500,2,60,5,3,10,30,True,50
59,18,12.628766787457794,1.0,70.0,50,True,500,2,60,5,3,10,30,True,50
