,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
0,78,13.174345678726121,3.6666666666666665,3.0,50,True,500,2,60,5,3,10,30,True,50
1,114,12.883815822140711,4.555555555555555,4.0,50,True,500,2,60,5,3,10,30,True,50
2,210,12.097209794854052,1.0,8.0,50,True,500,2,60,5,3,10,30,True,50
3,237,12.868395357733048,5.0,8.0,50,True,500,2,60,5,3,10,30,True,50
4,120,12.072365805628117,1.0,5.0,50,True,500,2,60,5,3,10,30,True,50
5,205,12.172352851269784,4.555555555555555,7.0,50,True,500,2,60,5,3,10,30,True,50
6,41,13.355867251249014,2.333333333333333,2.0,50,True,500,2,60,5,3,10,30,True,50
7,187,11.934222919730075,1.8888888888888888,7.0,50,True,500,2,60,5,3,10,30,True,50
8,179,12.933662649038784,5.0,6.0,50,True,500,2,60,5,3,10,30,True,50
9,171,12.795171040267578,4.111111111111111,6.0,50,True,500,2,60,5,3,10,30,True,50
10,282,11.431370559615884,2.7777777777777777,10.0,50,True,500,2,60,5,3,10,30,True,50
11,70,12.11596618779426,2.333333333333333,3.0,50,True,500,2,60,5,3,10,30,True,50
12,47,13.064847122905299,3.2222222222222223,2.0,50,True,500,2,60,5,3,10,30,True,50
13,295,12.284253615979669,4.555555555555555,10.0,50,True,500,2,60,5,3,10,30,True,50
14,201,12.340684093192134,4.111111111111111,7.0,50,True,500,2,60,5,3,10,30,True,50
15,97,12.411282562199089,1.8888888888888888,4.0,50,True,500,2,60,5,3,10,30,True,50
16,63,12.54302988738987,1.4444444444444444,3.0,50,True,500,2,60,5,3,10,30,True,50
17,65,12.333895993986625,1.4444444444444444,3.0,50,True,500,2,60,5,3,10,30,True,50
18,299,12.470604272195436,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
19,49,13.002539458183822,3.6666666666666665,2.0,50,True,500,2,60,5,3,10,30,True,50
20,233,12.770714131655211,4.111111111111111,8.0,50,True,500,2,60,5,3,10,30,True,50
21,206,12.760459809284926,4.555555555555555,7.0,50,True,500,2,60,5,3,10,30,True,50
22,2,12.959265205647547,1.0,1.0,50,True,500,2,60,5,3,10,30,True,50
23,25,12.567140307513263,4.555555555555555,1.0,50,True,500,2,60,5,3,10,30,True,50
24,250,11.555063811269225,2.333333333333333,9.0,50,True,500,2,60,5,3,10,30,True,50
