,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
0,263,10.776703018590768,4.111111111111111,9.0,50,False,500,2,60,5,3,10,30,True,50
1,209,11.448110490756072,5.0,7.0,50,False,500,2,60,5,3,10,30,True,50
2,256,11.136049576999067,3.2222222222222223,9.0,50,False,500,2,60,5,3,10,30,True,50
3,293,10.944601397022797,4.111111111111111,10.0,50,False,500,2,60,5,3,10,30,True,50
4,182,10.592187132815495,1.0,7.0,50,False,500,2,60,5,3,10,30,True,50
5,236,11.034495008381663,4.555555555555555,8.0,50,False,500,2,60,5,3,10,30,True,50
6,19,11.860039005289531,3.6666666666666665,1.0,50,False,500,2,60,5,3,10,30,True,50
7,25,11.613485269786178,4.555555555555555,1.0,50,False,500,2,60,5,3,10,30,True,50
8,157,10.717169019575499,1.8888888888888888,6.0,50,False,500,2,60,5,3,10,30,True,50
9,21,11.600574839842707,4.111111111111111,1.0,50,False,500,2,60,5,3,10,30,True,50
10,284,11.000323680791043,2.7777777777777777,10.0,50,False,500,2,60,5,3,10,30,True,50
11,238,11.174350714876832,5.0,8.0,50,False,500,2,60,5,3,10,30,True,50
12,219,10.71285320285082,2.333333333333333,8.0,50,False,500,2,60,5,3,10,30,True,50
13,298,11.17192468242731,5.0,10.0,50,False,500,2,60,5,3,10,30,True,50
14,32,11.178442985119187,1.0,2.0,50,False,500,2,60,5,3,10,30,True,50
15,92,10.954998831126348,1.0,4.0,50,False,500,2,60,5,3,10,30,True,50
16,198,11.166519969712745,3.6666666666666665,7.0,50,False,500,2,60,5,3,10,30,True,50
17,142,11.43870377192934,4.111111111111111,5.0,50,False,500,2,60,5,3,10,30,True,50
18,226,10.774760312156593,3.2222222222222223,8.0,50,False,500,2,60,5,3,10,30,True,50
19,99,10.941536188131483,2.333333333333333,4.0,50,False,500,2,60,5,3,10,30,True,50
20,20,11.35702694292494,3.6666666666666665,1.0,50,False,500,2,60,5,3,10,30,True,50
21,10,11.571218731559739,2.333333333333333,1.0,50,False,500,2,60,5,3,10,30,True,50
22,27,11.250507507202673,5.0,1.0,50,False,500,2,60,5,3,10,30,True,50
23,271,10.619086442160508,1.0,10.0,50,False,500,2,60,5,3,10,30,True,50
24,160,11.205110446630052,2.333333333333333,6.0,50,False,500,2,60,5,3,10,30,True,50
