,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
0,40,11.73389860039623,5.0,40.0,50,True,500,2,60,5,3,10,30,True,50
1,31,12.350600450746361,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
2,21,12.579076717077664,1.0,80.0,50,True,500,2,60,5,3,10,30,True,50
3,12,12.346655421805208,1.0,50.0,50,True,500,2,60,5,3,10,30,True,50
4,7,11.749290250870882,1.0,30.0,50,True,500,2,60,5,3,10,30,True,50
5,41,11.827605639510736,5.0,40.0,50,True,500,2,60,5,3,10,30,True,50
6,9,12.190859704367087,1.0,40.0,50,True,500,2,60,5,3,10,30,True,50
7,13,12.460447671933236,1.0,50.0,50,True,500,2,60,5,3,10,30,True,50
8,16,12.605402456344352,1.0,60.0,50,True,500,2,60,5,3,10,30,True,50
9,37,11.878343424138865,5.0,30.0,50,True,500,2,60,5,3,10,30,True,50
10,54,11.62445182377606,5.0,90.0,50,True,500,2,60,5,3,10,30,True,50
11,3,11.817048828938386,1.0,20.0,50,True,500,2,60,5,3,10,30,True,50
12,57,12.25239520106562,5.0,100.0,50,True,500,2,60,5,3,10,30,True,50
13,0,11.648305156686131,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
14,17,12.604116235586394,1.0,60.0,50,True,500,2,60,5,3,10,30,True,50
15,38,11.778587875976818,5.0,30.0,50,True,500,2,60,5,3,10,30,True,50
16,8,12.317324125177118,1.0,30.0,50,True,500,2,60,5,3,10,30,True,50
17,55,11.847175164533512,5.0,90.0,50,True,500,2,60,5,3,10,30,True,50
18,52,11.590528607603792,5.0,80.0,50,True,500,2,60,5,3,10,30,True,50
19,48,11.992056180130273,5.0,70.0,50,True,500,2,60,5,3,10,30,True,50
20,28,13.49604537061147,1.0,100.0,50,True,500,2,60,5,3,10,30,True,50
21,1,11.292850670617277,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
22,34,11.927571528929198,5.0,20.0,50,True,500,2,60,5,3,10,30,True,50
23,19,12.597013417345714,1.0,70.0,50,True,500,2,60,5,3,10,30,True,50
24,46,11.783933607108688,5.0,60.0,50,True,500,2,60,5,3,10,30,True,50
25,53,11.579373122471718,5.0,80.0,50,True,500,2,60,5,3,10,30,True,50
26,36,11.795756251156293,5.0,30.0,50,True,500,2,60,5,3,10,30,True,50
27,24,12.836254687756409,1.0,90.0,50,True,500,2,60,5,3,10,30,True,50
28,39,11.501413825847902,5.0,40.0,50,True,500,2,60,5,3,10,30,True,50
29,32,12.711616658196979,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
30,29,13.160502357109872,1.0,100.0,50,True,500,2,60,5,3,10,30,True,50
31,2,11.597487830390486,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
32,35,11.982820548530194,5.0,20.0,50,True,500,2,60,5,3,10,30,True,50
33,20,12.90680359887072,1.0,70.0,50,True,500,2,60,5,3,10,30,True,50
34,47,11.875326442147543,5.0,60.0,50,True,500,2,60,5,3,10,30,True,50
35,56,12.083466089484626,5.0,90.0,50,True,500,2,60,5,3,10,30,True,50
36,50,11.960904814834521,5.0,70.0,50,True,500,2,60,5,3,10,30,True,50
37,15,12.884995760773135,1.0,60.0,50,True,500,2,60,5,3,10,30,True,50
38,58,11.78727758747156,5.0,100.0,50,True,500,2,60,5,3,10,30,True,50
39,25,13.041409426836426,1.0,90.0,50,True,500,2,60,5,3,10,30,True,50
40,42,11.733672077827798,5.0,50.0,50,True,500,2,60,5,3,10,30,True,50
41,10,12.601077888202116,1.0,40.0,50,True,500,2,60,5,3,10,30,True,50
42,22,13.408169266551697,1.0,80.0,50,True,500,2,60,5,3,10,30,True,50
43,26,13.319302186922968,1.0,90.0,50,True,500,2,60,5,3,10,30,True,50
44,59,11.545089684250218,5.0,100.0,50,True,500,2,60,5,3,10,30,True,50
45,43,11.73003965444603,5.0,50.0,50,True,500,2,60,5,3,10,30,True,50
46,51,11.550204473464719,5.0,80.0,50,True,500,2,60,5,3,10,30,True,50
47,33,11.21830032488753,5.0,20.0,50,True,500,2,60,5,3,10,30,True,50
48,11,12.564011715587617,1.0,40.0,50,True,500,2,60,5,3,10,30,True,50
49,45,11.374921347213613,5.0,60.0,50,True,500,2,60,5,3,10,30,True,50
50,27,13.17950271788826,1.0,100.0,50,True,500,2,60,5,3,10,30,True,50
51,4,11.820544950437398,1.0,20.0,50,True,500,2,60,5,3,10,30,True,50
52,44,11.765154819931652,5.0,50.0,50,True,500,2,60,5,3,10,30,True,50
53,49,11.92631028698771,5.0,70.0,50,True,500,2,60,5,3,10,30,True,50
54,14,12.56254329430434,1.0,50.0,50,True,500,2,60,5,3,10,30,True,50
55,30,12.153133234208472,5.0,10.0,50,True,500,2,60,5,3,10,30,True,50
56,23,13.06047531312395,1.0,80.0,50,True,500,2,60,5,3,10,30,True,50
57,5,11.798835949126516,1.0,20.0,50,True,500,2,60,5,3,10,30,True,50
58,6,12.305876750206428,1.0,30.0,50,True,500,2,60,5,3,10,30,True,50
59,18,12.911943550863013,1.0,70.0,50,True,500,2,60,5,3,10,30,True,50
