,Run,Wealth,ex_ratio,height,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,width
0,845,5345.367748364226,5,50,500,9,60,5,3,10,30,50
1,877,5311.946496655882,8,50,500,9,60,5,3,10,30,50
2,422,5215.70575787404,3,50,500,5,60,5,3,10,30,50
3,271,5298.959469933691,8,50,500,3,60,5,3,10,30,50
4,506,5455.354731933661,1,50,500,6,60,5,3,10,30,50
5,453,5221.229900232778,6,50,500,5,60,5,3,10,30,50
6,663,5325.491632695549,7,50,500,7,60,5,3,10,30,50
7,839,5363.63229224029,4,50,500,9,60,5,3,10,30,50
8,720,5297.871156240057,3,50,500,8,60,5,3,10,30,50
9,86,5328.473182031053,9,50,500,1,60,5,3,10,30,50
10,393,5456.085335862529,10,50,500,4,60,5,3,10,30,50
11,41,5339.103987002554,5,50,500,1,60,5,3,10,30,50
12,172,5261.743497734257,8,50,500,2,60,5,3,10,30,50
13,766,5417.819054973804,7,50,500,8,60,5,3,10,30,50
14,501,5438.484307920325,1,50,500,6,60,5,3,10,30,50
15,632,5335.697489611331,4,50,500,7,60,5,3,10,30,50
16,511,5316.880235244061,2,50,500,6,60,5,3,10,30,50
17,313,5230.764597864223,2,50,500,4,60,5,3,10,30,50
18,619,5260.17716284963,2,50,500,7,60,5,3,10,30,50
19,751,5351.349125234943,6,50,500,8,60,5,3,10,30,50
20,996,5382.202144990529,10,50,500,10,60,5,3,10,30,50
21,147,5281.06300107615,5,50,500,2,60,5,3,10,30,50
22,157,5401.741816919563,6,50,500,2,60,5,3,10,30,50
23,437,5169.7210156565225,4,50,500,5,60,5,3,10,30,50
24,552,5227.329911139289,6,50,500,6,60,5,3,10,30,50
25,975,5326.098716806274,8,50,500,10,60,5,3,10,30,50
26,530,5458.788237953257,4,50,500,6,60,5,3,10,30,50
27,135,5221.471079478017,4,50,500,2,60,5,3,10,30,50
28,29,5375.806214480051,3,50,500,1,60,5,3,10,30,50
29,521,5321.426055904749,3,50,500,6,60,5,3,10,30,50
30,178,5415.630927378553,8,50,500,2,60,5,3,10,30,50
31,305,5471.845594728658,1,50,500,4,60,5,3,10,30,50
32,193,5324.262986344174,10,50,500,2,60,5,3,10,30,50
33,788,5294.007977107655,9,50,500,8,60,5,3,10,30,50
34,595,5298.808734000394,10,50,500,6,60,5,3,10,30,50
35,125,5236.7213527852755,3,50,500,2,60,5,3,10,30,50
36,810,5402.70617456027,2,50,500,9,60,5,3,10,30,50
37,215,5237.131260300592,2,50,500,3,60,5,3,10,30,50
38,254,5359.521403178688,6,50,500,3,60,5,3,10,30,50
39,10,5418.711216392364,2,50,500,1,60,5,3,10,30,50
40,907,5493.4235667161665,1,50,500,10,60,5,3,10,30,50
41,160,5297.107698878911,7,50,500,2,60,5,3,10,30,50
42,813,5290.496775372602,2,50,500,9,60,5,3,10,30,50
43,1,5436.314670370514,1,50,500,1,60,5,3,10,30,50
44,841,5289.933434848845,5,50,500,9,60,5,3,10,30,50
45,938,5260.476785496095,4,50,500,10,60,5,3,10,30,50
46,981,5338.227972780886,9,50,500,10,60,5,3,10,30,50
47,350,5414.485699240991,6,50,500,4,60,5,3,10,30,50
48,267,5375.274353949295,7,50,500,3,60,5,3,10,30,50
49,210,5210.150173395066,2,50,500,3,60,5,3,10,30,50
50,326,5295.803557809821,3,50,500,4,60,5,3,10,30,50
51,797,5295.818229388766,10,50,500,8,60,5,3,10,30,50
52,109,5506.9230185486595,1,50,500,2,60,5,3,10,30,50
53,360,5274.16469043146,7,50,500,4,60,5,3,10,30,50
54,72,5313.579814504146,8,50,500,1,60,5,3,10,30,50
55,953,5256.758988270542,6,50,500,10,60,5,3,10,30,50
56,640,5209.225596708914,5,50,500,7,60,5,3,10,30,50
57,682,5299.3138167215375,9,50,500,7,60,5,3,10,30,50
58,117,5209.825755641636,2,50,500,2,60,5,3,10,30,50
59,442,5154.956297697781,5,50,500,5,60,5,3,10,30,50
60,377,5353.365614080609,8,50,500,4,60,5,3,10,30,50
61,352,5239.722776585041,6,50,500,4,60,5,3,10,30,50
62,18,5293.787373750949,2,50,500,1,60,5,3,10,30,50
63,71,5367.040434860643,8,50,500,1,60,5,3,10,30,50
64,283,5397.743691679503,9,50,500,3,60,5,3,10,30,50
65,473,5558.276815181066,8,50,500,5,60,5,3,10,30,50
66,189,5169.323966903248,9,50,500,2,60,5,3,10,30,50
67,69,5313.2820647672115,7,50,500,1,60,5,3,10,30,50
68,565,5223.234869118496,7,50,500,6,60,5,3,10,30,50
69,349,5241.2080811729365,5,50,500,4,60,5,3,10,30,50
70,639,5394.155754935724,4,50,500,7,60,5,3,10,30,50
71,81,5452.049522387843,9,50,500,1,60,5,3,10,30,50
72,949,5262.685492763791,5,50,500,10,60,5,3,10,30,50
73,275,5303.221137609256,8,50,500,3,60,5,3,10,30,50
74,487,5300.688217539937,9,50,500,5,60,5,3,10,30,50
75,203,5408.891800996672,1,50,500,3,60,5,3,10,30,50
76,569,5298.038198112955,7,50,500,6,60,5,3,10,30,50
77,950,5315.516909537826,6,50,500,10,60,5,3,10,30,50
78,896,5439.802230795571,10,50,500,9,60,5,3,10,30,50
